id,name,email
1,Jinny,jinny@ssu.ac.kr
2,Tom,tom@test.com
3,Bob,bob@test.com
4,Alice,alice@test.com
5,Chris,chris@test.com
6,Diana,diana@test.com
7,Ethan,ethan@test.com
8,Fiona,fiona@test.com
9,George,george@test.com
10,Hannah,hannah@test.com
11,Ian,ian@test.com
12,Julia,julia@test.com
13,Kevin,kevin@test.com
14,Luna,luna@test.com
15,Mason,mason@test.com
16,Nora,nora@test.com
17,Oliver,oliver@test.com
18,Penny,penny@test.com
19,Quinn,quinn@test.com
20,Ryan,ryan@test.com
21,Sophie,sophie@test.com
22,Tyler,tyler@test.com
23,Uma,uma@test.com
24,Victor,victor@test.com
25,Wendy,wendy@test.com
26,Xander,xander@test.com
27,Yuna,yuna@test.com
28,Zane,zane@test.com
29,Minji,minji@test.com
30,Dahee,dahee@test.com
31,Hyun,hyun@test.com
32,Sora,sora@test.com
33,Leo,leo@test.com
34,Mia,mia@test.com
35,Noah,noah@test.com
36,Emma,emma@test.com
37,Jay,jay@test.com
38,Grace,grace@test.com
39,ColdStart,coldstart@test.com
40,SparseUser,sparse@test.com
